TimeSlotID,start_time,end_time,Duration,meeting_time,Credit_hours
T1,8:00,9:40,1:40,1,2
T2,10:00,11:40,1:40,1,2
T3,12:00,13:40,1:40,1,2
T4,14:00,15:40,1:40,1,2
T5,16:00,17:40,1:40,1,2
T6,17:00,18:40,1:40,1,2
T7,18:00,19:40,1:40,1,2
T8,8:00,8:50,0:50,2,2
T9,9:00,9:50,0:50,2,2
T10,10:00,10:50,0:50,2,2
T11,11:00,11:50,0:50,2,2
T12,12:00,12:50,0:50,2,2
T13,13:00,13:50,0:50,2,2
T14,14:00,14:50,0:50,2,2
T15,15:00,15:50,0:50,2,2
T16,16:00,16:50,0:50,2,2
T17,17:00,17:50,0:50,2,2
T18,18:00,18:50,0:50,2,2
T19,19:00,19:50,0:50,2,2
T20,14:00,16:30,2:30,1,3
T21,15:00,17:30,2:30,1,3
T22,16:00,18:30,2:30,1,3
T23,17:30,20:00,2:30,1,3
T24,18:00,20:30,2:30,1,3
T25,18:30,21:00,2:30,1,3
T26,19:00,21:30,2:30,1,3
T27,8:00,9:15,1:15,2,3
T28,9:30,10:45,1:15,2,3
T29,11:00,12:15,1:15,2,3
T30,12:30,13:45,1:15,2,3
T31,14:00,15:15,1:15,2,3
T32,15:30,16:45,1:15,2,3
T33,17:00,18:15,1:15,2,3
T34,18:30,19:45,1:15,2,3
T35,8:00,8:50,0:50,3,3
T36,9:00,9:50,0:50,3,3
T37,10:00,10:50,0:50,3,3
T38,11:00,11:50,0:50,3,3
T39,12:00,12:50,0:50,3,3
T40,13:00,13:50,0:50,3,3
T41,14:00,14:50,0:50,3,3
T42,15:00,15:50,0:50,3,3
T43,16:00,16:50,0:50,3,3
T44,17:00,17:50,0:50,3,3
T45,18:00,18:50,0:50,3,3
T46,19:00,19:50,0:50,3,3
T47,8:00,9:40,1:40,2,4
T48,10:00,11:40,1:40,2,4
T49,12:00,13:40,1:40,2,4
T50,14:00,15:40,1:40,2,4
T51,16:00,17:40,1:40,2,4
T52,17:00,18:40,1:40,2,4
T53,18:00,19:40,1:40,2,4
T58,8:00,8:50,0:50,4,4
T59,9:00,9:50,0:50,4,4
T60,10:00,10:50,0:50,4,4
T61,11:00,11:50,0:50,4,4
T62,12:00,12:50,0:50,4,4
T63,13:00,13:50,0:50,4,4
T64,14:00,14:50,0:50,4,4
T65,15:00,15:50,0:50,4,4
T66,16:00,16:50,0:50,4,4
T67,17:00,17:50,0:50,4,4
T68,18:00,18:50,0:50,4,4
T69,19:00,19:50,0:50,4,4
